,precision,recall,f1-score,support
Aircraft Exhaust,1.0,0.8,0.8888888888888888,10.0
Biomass Burning,0.6923076923076923,0.9,0.782608695652174,10.0
Cement Production,0.0,0.0,0.0,10.0
Charbroiling,1.0,0.4,0.5714285714285714,10.0
Charcoal Manufacturing,0.1724137931034483,0.5,0.2564102564102564,10.0
Coal Combustion,0.6666666666666666,0.6,0.631578947368421,10.0
Diesel Exhaust,0.875,0.7,0.7777777777777778,10.0
Distillate Oil Combustion,0.8333333333333334,1.0,0.9090909090909091,10.0
Ferromanganese Furnace,0.0,0.0,0.0,10.0
Frying,0.4,0.2,0.26666666666666666,10.0
Garbage Burning,1.0,1.0,1.0,10.0
Gasoline Exhaust,1.0,0.7,0.8235294117647058,10.0
Glass Furnace,0.0,0.0,0.0,10.0
Iron and Steel Production,1.0,0.9,0.9473684210526315,10.0
Natural Gas Combustion,0.8,0.4,0.5333333333333333,10.0
Natural Gas Flare,0.5,0.5,0.5,10.0
Pulp & Paper Mill,0.4444444444444444,0.8,0.5714285714285714,10.0
Residential Natural Gas Combustion,0.5263157894736842,1.0,0.6896551724137931,10.0
Residential Wood Combustion,0.875,0.7,0.7777777777777778,10.0
Residual Oil Combustion,1.0,1.0,1.0,10.0
Sludge & Solid Waste Combustion,0.15789473684210525,0.3,0.20689655172413793,10.0
Vehicle Exhaust,0.6428571428571429,0.9,0.75,10.0
accuracy,0.6045454545454545,0.6045454545454545,0.6045454545454545,0.6045454545454545
macro avg,0.6175560726831144,0.6045454545454546,0.5856563614899372,220.0
weighted avg,0.6175560726831143,0.6045454545454545,0.585656361489937,220.0
